instruction,domain,intent,sub_intent,tool,response_mode,entity_product,entity_merchant,entity_brand,entity_category,entity_price_min,entity_price_max,entity_location,entity_radius,planner_action,workflow_type,planner_actions,planner_action_count,tool_sequence
I'm looking for offers on AirPods Pro.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,AirPods Pro,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
I'm looking for offers on Butter.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Butter,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
I'm looking for offers on Chicken Breast.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Chicken Breast,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
I'm looking for offers on Coffee Beans.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Coffee Beans,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List offers in Dresden.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Dresden,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List offers in Frankfurt REWE,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,REWE,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List offers in Leipzig DM,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,DM,,,,Leipzig,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List offers in Munich REWE,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,REWE,,,,Munich,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List offers on Milk ,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Milk,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need offers in Berlin.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Berlin,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need offers in Hamburg.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Hamburg,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need offers on Butter.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Butter,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need offers on Coffee Beans.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Coffee Beans,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need offers on MacBook Air.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,MacBook Air,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need offers on Orange Juice.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Orange Juice,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Search for offers in Cologne.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Cologne,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Search for offers in Frankfurt.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Search for offers in Hamburg.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Hamburg,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Search for offers on Milk.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Milk,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Search for offers on Rice.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Rice,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Search for today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show offers in Berlin.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Berlin,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show offers in Cologne.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Cologne,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show offers in Frankfurt.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show offers on Cheese.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Cheese,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show offers on Pasta.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Pasta,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show offers on PlayStation 5.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,PlayStation 5,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
What are offers in Frankfurt.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
What are offers on Eggs.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Eggs,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
What are offers on PlayStation 5.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,PlayStation 5,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
What are today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Any Adidas Galaxy S25 offers under €500 in Leipzig.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Galaxy S25,,Adidas,,,500,Leipzig,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Any LG offers under €500 in Stuttgart.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,LG,,,500,Stuttgart,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Any Nutella offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Nutella,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Any Samsung offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Samsung,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Any Chicken Breast offers in Hamburg.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Chicken Breast,,,,,,Hamburg,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Any Sony offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Sony,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Can you find Galaxy S25 offers under €500 in Stuttgart.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Galaxy S25,,samsung,,,500,Stuttgart,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Can you find Apple offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Apple,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Can you find HP offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,HP,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Can you find Lenovo offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Lenovo,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Can you find Sony offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Sony,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Display Coffee offers under €50 in Leipzig.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Coffee,,,,,50,Leipzig,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display Dell offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Dell,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Display HP Running Shoes offers under €200 in Stuttgart.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Running Shoes,,HP,,,200,Stuttgart,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Display LG offers under €100 in Berlin.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,LG,,,100,Berlin,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Display Nutella offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Nutella,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Display Puma offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Puma,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Find iPhone 16 offers under €1000 in Cologne.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,iPhone 16,,Apple,,,1000,Cologne,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Find woodland offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,woodland,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Find Apple Watch offers under €50 in Munich.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Watch,,Apple,,,50,Munich,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Find Sony offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Sony,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
I'm looking for Dell offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Dell,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
I'm looking for Sneakers offers under €200 in Munich.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Sneakers,,,,,200,Munich,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List Coffee Beans offers under €25 in Cologne.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Coffee Beans,,,,,25,Cologne,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
List Coke offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Coke,,Cola,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
List Apple Watch offers under €100 in Munich.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Apple Watch,,Nike,,,100,Munich,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
List iPhone 16 offers under €500 in Dresden.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,iPhone 16,,Apple,,,500,Dresden,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
List Nivea offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Nivea,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Need Adidas offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Adidas,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Show me offers on Under Armour.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Under Armour,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Need White Pasta offers under €100 in Hamburg.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,White Pasta,,,,,100,Hamburg,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Need Sony offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Sony,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Search for Pasta offers under €50 in Munich.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Pasta,,,,,50,Munich,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Search for Lenovo offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Lenovo,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Search for Coffee Beans offers under €25 in Leipzig.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Coffee Beans,,,,,25,Leipzig,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Show H&M offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,H&M,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Show PlayStation 5 offers under €50 in Frankfurt.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,PlayStation 5,,,,,50,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
What are H&M offers under €100 in Frankfurt.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,H&M,,,100,Frankfurt,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
What are AirPods Pro offers under €100 in Frankfurt.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,AirPods Pro,,Apple,,,100,Frankfurt,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
What are Nutella offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Nutella,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
What are Puma offers.,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Puma,,,,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
What are Samsung offers under €500,OFFER,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,,,Samsung,,,500,,,SEARCH_OFFERS_BY_BRAND,single,SEARCH_OFFERS_BY_BRAND,1,merchant_search
Any fashion deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fashion,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Any groceries deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Groceries,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Can you find beauty deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Beauty,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Can you find sports deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Sports,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Display beauty deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Beauty,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Display food deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Food,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Display home deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Home,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Display sports deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Sports,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Find fashion deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fashion,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Find food deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Food,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
I'm looking for fashion deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fashion,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
List beauty deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Beauty,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
List fashion deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fashion,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
List food deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Food,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
List sports deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Sports,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Need fashion deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fashion,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Need food deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Food,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Need sports deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Sports,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Search for fashion deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fashion,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Search for food deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Food,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Search for groceries deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Groceries,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Search for home deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Home,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Show beauty deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Beauty,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
What are food deals.,OFFER,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Food,,,,,SEARCH_OFFERS_BY_CATEGORY,single,SEARCH_OFFERS_BY_CATEGORY,1,merchant_search
Any offers from Kiosk.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,Kiosk,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
Any offers from dm.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,dm,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
Can you find offers from dm.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,dm,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
Display offers from dm.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,dm,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
Find offers from Kaufland.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,Kaufland,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
I'm looking for offers from Kaufland.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,Kaufland,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
I'm looking for offers from McDonald's.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,McDonald's,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
I'm looking for offers from MediaMarkt.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,MediaMarkt,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
I'm looking for offers from REWE.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,REWE,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
I'm looking for offers from Starbucks.,OFFER,SEARCH,SEARCH_BY_MERCHANT,merchant_search,hybrid,,Starbucks,,,,,,,SEARCH_OFFERS_BY_MERCHANT,single,SEARCH_OFFERS_BY_MERCHANT,1,merchant_search
