instruction,domain,intent,sub_intent,tool,response_mode,entity_product,entity_merchant,entity_brand,entity_category,entity_price_min,entity_price_max,entity_location,entity_radius,requires_memory,requires_rag,requires_recommendation,planner_action,workflow_type,planner_actions,planner_action_count,tool_sequence
Show me Greek yogurt.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Greek Yogurt,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Find chicken breast.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Chicken Breast,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Look for apples.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Apples,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Search for mineral water.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Mineral Water,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Show me cornflakes.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Cornflakes,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Find frozen peas.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Frozen Peas,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Search for cheddar cheese.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Cheddar Cheese,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Look up olive oil.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Olive Oil,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Show me black tea.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Black Tea,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Find potato chips.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Potato Chips,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Find milk under €2.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Milk,,,,,2.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show me coffee below €6.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Coffee,,,,,6.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Search for bread for no more than €3.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Bread,,,,,3.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Find olive oil under €8.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Olive Oil,,,,,8.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show eggs costing less than €4.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Eggs,,,,,4.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Search for pasta below €2.50.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Pasta,,,,,2.5,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Find yogurt between €1 and €3.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Yogurt,,,,1.0,3.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show rice from €2 to €5.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Rice,,,,2.0,5.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Search for cheese under €5.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Cheese,,,,,5.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Find orange juice below €3.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Orange Juice,,,,,3.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show butter for at most €4.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Butter,,,,,4.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Search for apples under €2 per kilo.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Apples,,,,,2.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Find frozen pizza below €4.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Frozen Pizza,,,,,4.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show cereal between €2 and €4.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Cereal,,,,2.0,4.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Search for chocolate under €3.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Chocolate,,,,,3.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Find chicken breast for less than €10.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Chicken Breast,,,,,10.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show mineral water below €1.50.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Mineral Water,,,,,1.5,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Search for tomato sauce from €1 to €2.50.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Tomato Sauce,,,,1.0,2.5,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Find ice cream under €5.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Ice Cream,,,,,5.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show tea for no more than €4.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Tea,,,,,4.0,,,false,false,true,SEARCH_PRODUCT_BY_PRICE,single,SEARCH_PRODUCT_BY_PRICE,1,merchant_search
Show me Alpro products.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Food and Drinks,,Alpro,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Coca-Cola drinks.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Soft Drinks,,Coca-Cola,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Search for Barilla pasta.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Pasta,,Barilla,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me Kellogg's cereal.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Cereal,,Kellogg's,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Nutella spread.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Hazelnut Spread,,Nutella,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Search for Nivea products.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Personal Care,,Nivea,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me Milka chocolate.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Chocolate,,Milka,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Oatly drinks.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Plant-Based Drinks,,Oatly,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Search for Heinz ketchup.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Ketchup,,Heinz,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me Dr. Oetker pizza.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Pizza,,Dr. Oetker,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Lavazza coffee.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Coffee,,Lavazza,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Search for Ben & Jerry's ice cream.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Ice Cream,,Ben & Jerry's,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me Ritter Sport chocolate.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Chocolate,,Ritter Sport,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Maggi products.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Food Products,,Maggi,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Search for Philadelphia cream cheese.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Cream Cheese,,Philadelphia,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me Ferrero products.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Confectionery,,Ferrero,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Ariel detergent.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Laundry Detergent,,Ariel,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Search for Persil laundry products.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Laundry Products,,Persil,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me Red Bull drinks.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Energy Drinks,,Red Bull,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Find Müller yogurt.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Yogurt,,Müller,,,,,,false,false,false,SEARCH_PRODUCT_BY_BRAND,single,SEARCH_PRODUCT_BY_BRAND,1,merchant_search
Show me dairy products.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Dairy,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find frozen foods.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Frozen Food,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Search for breakfast cereals.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Breakfast Cereal,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Show me soft drinks.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Soft Drinks,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find fresh fruit.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Fresh Fruit,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Search for vegetables.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Vegetables,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Show me bakery products.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Bakery,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find snacks.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Snacks,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Search for coffee and tea.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Coffee and Tea,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Show me pasta and rice.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Pasta and Rice,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find cleaning products.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Cleaning Products,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Search for baby food.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Baby Food,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Show me pet food.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Pet Food,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find personal care products.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Personal Care,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Search for meat and poultry.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Meat and Poultry,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Show me vegetarian products.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Vegetarian,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find canned foods.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Canned Food,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Search for sauces and condiments.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Sauces and Condiments,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Show me desserts.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Desserts,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Find household supplies.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Household Supplies,,,,,false,false,false,SEARCH_PRODUCT_BY_CATEGORY,single,SEARCH_PRODUCT_BY_CATEGORY,1,merchant_search
Where can I get Kartoffel Püree for the cheapest?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Kartoffel Püree,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Which place has the lowest price for whole milk?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Whole Milk,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Find the cheapest frozen pizza.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Frozen Pizza,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Compare prices for olive oil.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Olive Oil,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Where is basmati rice cheapest?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Basmati Rice,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Show me the best price for eggs.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Eggs,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Find a cheaper alternative to Nutella.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Nutella,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
What is the cheapest alternative to Coca-Cola?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Coca-Cola,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Compare prices for oat milk.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Oat Milk,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Where can I buy ground coffee at the lowest price?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Ground Coffee,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Find the best deal on butter.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Butter,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Show me cheaper alternatives to Greek yogurt.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Greek Yogurt,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Which option is cheapest for mineral water?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Mineral Water,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Find a lower-priced alternative to cheddar cheese.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Cheddar Cheese,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Compare prices for spaghetti.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Spaghetti,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Where can I get bananas for the lowest price?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Bananas,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Show me the cheapest tomato sauce.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Tomato Sauce,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Find a budget alternative to Heinz ketchup.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Heinz Ketchup,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
What is the lowest price for chicken breast?,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Chicken Breast,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Compare prices and find the cheapest ice cream.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Ice Cream,,,,,,,,false,false,true,COMPARE_PRODUCTS,single,COMPARE_PRODUCTS,1,merchant_search
Is oat milk available?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Oat Milk,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Check whether bananas are in stock.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Bananas,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Do you have frozen pizza available?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Frozen Pizza,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Is whole milk currently available?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Whole Milk,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Check if eggs are in stock.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Eggs,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Can I get basmati rice right now?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Basmati Rice,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Is olive oil available?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Olive Oil,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Check whether Greek yogurt is in stock.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Greek Yogurt,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Do you have cheddar cheese?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Cheddar Cheese,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Is orange juice available today?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Orange Juice,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Check if chicken breast is in stock.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Chicken Breast,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Can I buy mineral water right now?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Mineral Water,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Is ground coffee available?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Ground Coffee,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Check whether frozen peas are in stock.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Frozen Peas,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Do you have tomato sauce available?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Tomato Sauce,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
Is butter currently in stock?,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Butter,,,,,,,,false,false,false,CHECK_PRODUCT_AVAILABILITY,single,CHECK_PRODUCT_AVAILABILITY,1,merchant_search
